,type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
94,GHB,최음제,2022-11-02 14:28:07+00:00,1.58781e+18,CarrieF23547764,rushmeth,,,"작대기팝니다 떨팝니다 최음제 최음제 떨판매
     작대기   마약상인  작대기팝니다  액상사는곳 
#아이스 https://t.co/rLxyrJtZEl",0,0,,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FgkMN4HVsAACspV?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgkMN4HVsAACspV?format=jpg&name=orig', altText=None)]",Twitter Web App
95,GHB,최음제,2022-11-02 16:27:15+00:00,1.58784e+18,KatieGu14897690,rushmeth,,,"작대기팝니다 떨팝니다 최음제 최음제 떨판매
     작대기   마약상인  작대기팝니다  액상사는곳 
#아이스 https://t.co/mB6RDa8Ou6",0,0,,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fgknfg_agAA8dG2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgknfg_agAA8dG2?format=jpg&name=orig', altText=None)]",Twitter Web App
96,GHB,최음제,2022-11-02 17:12:17+00:00,1.58786e+18,6002oeo18,6002oeo18,,,"여러분에 안식처 아이스 하이븐 

?텔 레 문 의 i c e haven ?

ㅎㄹ 작대기사용법 허브효능

대마 대마 최음제
파티약 

아이스드랍 케이 차가운술
케이 아이스뽕

#아이스 https://t.co/OqgkJuHtMP",0,0,,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/FgkxzXVUUAAFAnj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgkxzXVUUAAFAnj?format=jpg&name=orig', altText=None)]",Twitter Web App
97,GHB,최음제,2022-11-02 17:13:14+00:00,1.58786e+18,ky97hyun,김영현,,,"? #작대기아이스  ?
? #차가운술 ?

여러분에 안식처 하이븐

?텔 레 문 의 i c e haven ?

 한작대기 부산아이스
후리베이스 아이스얼음주사사용방법

캔디 엑시 엑스터시
 최음제 케이

아이스작대기 대마 https://t.co/wZs9EVqd7L",0,0,,"['작대기아이스', '차가운술']","[Photo(previewUrl='https://pbs.twimg.com/media/FgkyBQaUAAAF7zr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgkyBQaUAAAF7zr?format=jpg&name=orig', altText=None)]",Twitter Web App
98,GHB,최음제,2022-11-03 00:51:39+00:00,1.58797e+18,ky97hyun,김영현,,,"? #아이스파는곳  ?
? #아이스술  ?
? #아이스작대기 ?

여러분에 안식처 하이븐

?텔 레 문 의 i c e haven ?

아이스얼음주사사용방법 대마초파는곳 술파는곳
떨판매 인슐린주사기

최음제 케이 강남파티
 떨팝니다 파티약

샘플20만 작대기 아이스팝니다
차가운술 떨 https://t.co/RwLYzYykur",0,0,,"['아이스파는곳', '아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/Fgma8eRagAAtqW2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgma8eRagAAtqW2?format=jpg&name=orig', altText=None)]",Twitter Web App
99,GHB,최음제,2022-11-03 02:17:54+00:00,1.58799e+18,smile4330,이효정,,,"뽕라덴 복귀?

텔레 binladen11

전국 실시간 좌표  ?
전국 드랍   ♥

샘플 20만원 시작~  ?

아이스작대기

천안아이스

크리스탈아이스 

브액 허브 떨
떨 작대기 

엑시 클럽파티 떨후기

캔디케이 떨팝니다
허브 최음제 

#샘플
#대마 https://t.co/Cxx3VkaxuC",0,0,,"['샘플', '대마']","[Photo(previewUrl='https://pbs.twimg.com/media/Fgmur6zUYAEnC3H?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgmur6zUYAEnC3H?format=jpg&name=orig', altText=None)]",Twitter Web App
100,GHB,최음제,2022-11-03 02:52:31+00:00,1.588e+18,khk030700,권혜경,,,"여러분에 안식처 아이스 하이븐 

?텔 레 문 의 i c e haven ?

ㅈㄷㄱ팝니다 인천아이스 부산아이스
강간데이트 정품작대기

떨삽니다 최음제 대마
떨파는곳 떨사는곳

작대기 엘에디 아이스드랍
허브 아이스드랍

#차가운술 https://t.co/Z1105bHxAl",0,0,,['차가운술'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fgm2m4JUcAA5EAT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgm2m4JUcAA5EAT?format=jpg&name=orig', altText=None)]",Twitter Web App
101,GHB,최음제,2022-11-03 03:30:38+00:00,1.58801e+18,nice8914,lee joonwoo,,,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

작대기효능 강간데이트 일산아이스 
대구아이스 인잭하는법 아이스사용방법

떨사는곳  떨느낌 
클럽약 최음제 

아이스 작대기팝니다 
케타민
액상 아이스작대기 작대기팝니다 

#아이스술
#아이스작대기 https://t.co/exagNMMkfd",0,0,,"['아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/Fgm_VUQUAAAwK7V?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgm_VUQUAAAwK7V?format=jpg&name=orig', altText=None)]",Twitter Web App
102,GHB,최음제,2022-11-03 04:28:09+00:00,1.58803e+18,role415,김태현,,,"? 텔 레 그 램 J R i c e 1 ♨

?아이스작대기 무한?

빙두판매처 엑스터시효과 창원아이스
아이스팝니다 LSD 아이스 작대기뽕

떨후기 케이 떨액 

 떨삽니다 떨파는곳 

 작대기술 사끼사용법 아이스뽕

ㅅㄲ 떨느낌  마약효과 최음제 

#빙두판매
#사끼 https://t.co/2DBcAAMfvT",0,0,,"['빙두판매', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FgnMfz8VEAIMK0_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgnMfz8VEAIMK0_?format=jpg&name=orig', altText=None)]",Twitter Web App
103,GHB,최음제,2022-11-03 04:42:06+00:00,1.58803e+18,dlsgkfjqm1,이인하,,,"텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

샤부 아이스얼음주사 차가운술파는곳
술의효능

담배 떨구입 사탕
 최음제 파티약

떨 케타민
액상 아이스작대기
캔디케이 떨

? #아이스작대기 ?
? #빙두 ↔ https://t.co/9wfGxHenEs",0,0,,"['아이스작대기', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FgnPsOnUoAAH_V_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgnPsOnUoAAH_V_?format=jpg&name=orig', altText=None)]",Twitter Web App
104,GHB,최음제,2022-11-03 06:41:04+00:00,1.58806e+18,jcjin1,이우,,,"여러분에 안식처 아이스 하이븐 

?텔 레 문 의 i c e haven ?

제주아이스 부산아이스 정품작대기

최음제 클럽파티 
대마 대마

허브 아이스사끼 사끼
작대기뽕 작대기술

#아이스작대기 https://t.co/YCwpNmX0Wg",0,0,,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fgnq7FUacAEFe3L?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgnq7FUacAEFe3L?format=jpg&name=orig', altText=None)]",Twitter Web App
105,GHB,최음제,2022-11-03 07:43:44+00:00,1.58807e+18,eel3728,"Bo eun,Lee",,Korea,"여러분에 안식처 아이스 하이븐 

?텔 레 문 의 i c e haven ?

마약파는곳 엑스터시효과 
시원한술파는곳

강남파티  파티약
떨후기 최음제

허브 아이스작대기 아이스뽕
작대기아이스 아이스뽕

#아이스 https://t.co/RMkm3tgJyu",0,0,,['아이스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fgn5QtmagAAof5t?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgn5QtmagAAof5t?format=jpg&name=orig', altText=None)]",Twitter Web App
106,GHB,최음제,2022-11-03 08:06:00+00:00,1.58808e+18,lee991224,이대진,,,"☎ 텔 레 그 램 J R i c e 1 ?

?아이스작대기 무한?

아이스거래방법 떨파는곳소개 아이스얼음작대기
아이스 엘에디 사끼 빙두

캔디 떨구매 브액떨액 

 떨느낌 대마허브 

 아이스뽕 떨판매 사끼

반작대기 최음제  아이스판매처 대마 

#아이스후기
#사끼 https://t.co/bSOHT1DEzg",0,0,,"['아이스후기', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/Fgn-W8IVIAArmBP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgn-W8IVIAArmBP?format=jpg&name=orig', altText=None)]",Twitter Web App
107,GHB,최음제,2022-11-03 09:14:19+00:00,1.5881e+18,csgain,성현기,,,"텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

마약파는곳 허브효능 사끼사용법
아이스얼음주사

최음제  사티바
 사탕 떨사는곳

 떨 떨
아이스팝니다 작대기

? #아이스작대기 ?
? #작대기아이스 ? https://t.co/4D5usN1qPm",0,0,,"['아이스작대기', '작대기아이스']","[Photo(previewUrl='https://pbs.twimg.com/media/FgoN_s2aAAARjTJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FgoN_s2aAAARjTJ?format=jpg&name=orig', altText=None)]",Twitter Web App
108,GHB,최음제,2022-11-03 10:19:12+00:00,1.58811e+18,jaydencnk,jayden choi,,,"텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

술파는곳 케타민반응 작대기구매는
울산아이스

엑스터시 최음제 파티약

아이스 작대기 브액
캔디케이 아이스팝니다

#작대기 https://t.co/81yxve5ZiL",0,0,,['작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fgoc2GwaMAATry_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgoc2GwaMAATry_?format=jpg&name=orig', altText=None)]",Twitter Web App
109,GHB,최음제,2022-11-03 10:44:30+00:00,1.58812e+18,loveyj0827,YOOJI NO,,,"텔 레 i c e p i c k s

? 아이스픽2 ?
샘플 20만 아이스작대기

허브효능 마약상인 작대기퀄리티
제주아이스

캔디 떨 최음제
 떨팝니다 강남파티

작대기팝니다 브액 떨
떨 케타민
액상

? #아이스작대기 ?
? #빙두삽니다 ? https://t.co/j3zFtXeYKR",0,0,,"['아이스작대기', '빙두삽니다']","[Photo(previewUrl='https://pbs.twimg.com/media/Fgoiox1acAAz09Q?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fgoiox1acAAz09Q?format=jpg&name=orig', altText=None)]",Twitter Web App
110,GHB,최음제,2022-11-03 17:59:54+00:00,1.58823e+18,aiseu99937447,서울상회,,,"아이스 브액 아이스 판매

아이스 작대기 차가운술 시원한술

필로 필로폰 액상대마

천사의눈물 강간데이트 끼리

섹트 섹스 캔디 케이 허브 샘플

최음제 수면제 케이캔디

https://t.co/uRXccVLVm8

1",1,1,,,,Twitter for Android
