date,id,user.username,place,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
2023-03-28 18:03:17+00:00,1640776588282458114,honda1476,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
전북안전딜러  
삥두파는곳  
경북패치  
경남하선모집  
파티마약  
머쉬룸  
  
#충남환각제 https://t.co/Qe8lPR9uOa",0,0,30.0,['충남환각제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsU1lJbaUAIY7_H?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsU1lJbaUAIY7_H?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 18:00:54+00:00,1640775989239373824,alimemon3224,,"♧ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
수원액상떨  
케이  
액상떨구입  
대마초구입방법  
에더블  
우유주사  
  
#LSD사는법 https://t.co/vpmw0HA7CA",0,0,36.0,['LSD사는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsU0_U8aIAE5N_E?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsU0_U8aIAE5N_E?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 17:14:58+00:00,1640764429955641346,idduftf,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
모르핀  
매직머쉬룸  
대구고퀄아이스  
삥두  
클럽drug구하는법  
조인트  
  
#액상대마 https://t.co/bBRVvXM8Sd",0,0,49.0,['액상대마'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsUqghEaEAIOkYa?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsUqghEaEAIOkYa?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 16:24:21+00:00,1640751692382699527,kkk2424k,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☎ 아이스픽2 ☣
샘플 20만 아이스작대기

삥두 BD주사기 브액판매처
술구매

케타민 엑시 케이
 떨 강남파티

엘에디 작대기 LSD
아이스 엘에디

☁ #사끼 ☀
☄ #빙두 ✎ https://t.co/OxLLnI4hiT",0,0,18.0,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsUe9AJaMAAsydS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsUe9AJaMAAsydS?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 12:50:39+00:00,1640697912866000896,dh_choii,,"뽕라덴 복귀☠

텔레 binladen11

전국 실시간 좌표  ↘
전국 드랍   ♦

샘플 20만원 시작~  ☂

아이스작대기

빙두판매처

삥두 

LSD 차가운술 아이스
사끼 샘플20만 

케이 사탕 사탕

아이스사끼 떨팝니다
빙두 파티약 

#아이스작대기 https://t.co/1yEAVn1ENl",0,0,21.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTuCpDagAEk3vZ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTuCpDagAEk3vZ?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 12:13:45+00:00,1640688626743795713,pqjdifia,,"▷ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
#합성대마초팝니다  
고퀄아이스가격  
인천하선구함  
파티마약후기  
뽕아이스구매방법  
창원드랍퍼  
삥두효과 https://t.co/bA6p0quVMr",0,0,67.0,['합성대마초팝니다'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTlk8tagAInw9P?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTlk8tagAInw9P?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 10:34:09+00:00,1640663561658834944,yjh1226,,"달나라 아이스
텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만

아이스작대기 
캔디 케이 브액 떨 액상 대마 떨액 

삥두 캔디파는곳 서울아이스

떨느낌 떨 담배

아이스팝니다 아이스뽕 엘에디

#최음제 https://t.co/WmE7AIucUf",0,0,373.0,['최음제'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsTOzOyaEAEumr0?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsTOzOyaEAEumr0?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 10:33:40+00:00,1640663436668575745,miming18ko,,"☆ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
#랏슈효과  
충북사탕  
전남뽕아이스  
울산마취제  
전라도신속드랍  
경상도액상대마  
떨  
v",0,0,59.0,['랏슈효과'],,Twitter Web App
2023-03-28 07:05:49+00:00,1640611130140950528,rkttb20,,"여러분에 안식처 아이스 하이븐 

☀텔 레 문 의 i c e haven ☝

삥두 마약상인 얼음사는곳얼음파는곳

담배 담배 담배
엑시 클럽파티

엘에디 작대기팝니다 허브
아이스사끼 LSD

#아이스작대기 https://t.co/BG9OB3l0l2",0,0,22.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsSfHOSaEAILiWj?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsSfHOSaEAILiWj?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 06:23:35+00:00,1640600502613458947,JunJun95706346,,"텔 레 i c e p i c k s

♦ 퀄리티승부 ☝
샘플 20만 아이스작대기

삥두 마약효과 샤부
부산아이스

인디카 담배 떨구매
 캔디 인디카

케타민 아이스뽕 사끼
샘플20만 엘에디

☃ #아이스삽니다 ☝ https://t.co/VVC5eFGi26",0,0,54.0,['아이스삽니다'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsSVcu9aYAID8T_?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsSVcu9aYAID8T_?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-28 03:45:43+00:00,1640560774375682048,Rosydawn_,,"텔레:MooNice777

아이스샘플:20만
아이스0.5:40만
아이스1.G:70만
캔디 케이 브액 떨 액상 대마 브액 

반작대기 삥두 창원아이스

강남파티 떨삽니다 떨느낌

아이스1G 아이스뽕 케이

#작대기술
#아이스작대기 https://t.co/bQB3NtBMoG",0,0,29.0,"['작대기술', '아이스작대기']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1640560756050792449/pu/img/g_mwYYV0aqew1tbG.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1640560756050792449/pu/pl/IaQhJZPdLNfuqM3J.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1640560756050792449/pu/vid/270x480/9J5kD134vcSMSB-5.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=1.0, views=3, altText=None)]",Twitter Web App
2023-03-28 03:36:58+00:00,1640558572827463683,YounSeok,,"♠ #빙두 ✂
☀ #아이스작대기 ♣

여러분에 안식처 하이븐

☀텔 레 문 의 i c e haven ☢

마약효과 사끼파는곳 삥두
케타민반응 

떨느낌 떨느낌 케타민
 떨팝니다 대마

샘플20만 아이스작대기 아이스
LSD 아이스1G https://t.co/Ygj7RP2aWn",0,0,21.0,"['빙두', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FsRvT-kaAAMJKWP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsRvT-kaAAMJKWP?format=jpg&name=orig', altText=None)]",Twitter Web App
2023-03-27 20:04:13+00:00,1640444634894831616,chohanseol,,"뽕라덴 복귀☁

텔레 binladen11

전국 실시간 좌표  ♦
전국 드랍   ✿

샘플 20만원 시작~  ☁

아이스작대기

삥두

아이스효능직빵 

작대기뽕 빙두 샘플20만
아이스사끼 아이스팝니다 

떨구매 파티약 떨후기

엘에디 떨파는곳
케타민 떨 

#아이스파는곳 https://t.co/grPuPekLWE",0,0,19.0,['아이스파는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsQHr6taEAAvIuh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsQHr6taEAAvIuh?format=jpg&name=orig', altText=None)]",Twitter Web App
