Unnamed: 0,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel
116,2023-03-29 20:24:49+00:00,1.64117e+18,abvet79,카오잠자리,,,"Happy b b o n g

해피 해피뽕 

아이스작대기 전문 딜러

ㅈㄷㄱㅇㄹ 마약파는곳 제주아이스 
아이스얼음주사 인잭하는법 브액판매처

 떨 떨판매 
클럽파티 최음제 

브액 샘플20만 
케타민 아이스사끼 케이 

#아이스술
#아이스작대기 https://t.co/gRujajmuN4",0,0,14.0,"['아이스술', '아이스작대기']","[Video(thumbnailUrl='https://pbs.twimg.com/ext_tw_video_thumb/1641174574586040320/pu/img/uzgaRQFIwJ0USGDS.jpg', variants=[VideoVariant(url='https://video.twimg.com/ext_tw_video/1641174574586040320/pu/pl/y9_RcLzaNwaQwI5i.m3u8?tag=12&container=fmp4', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/ext_tw_video/1641174574586040320/pu/vid/270x480/-6DO-JDaNqOApXOq.mp4?tag=12', contentType='video/mp4', bitrate=632000)], duration=1.237, views=3, altText=None)]",Twitter Web App
117,2023-03-29 20:17:16+00:00,1.64117e+18,poiyuu00,poiyuu,,,"❣ 텔 레 그 램 J R i c e 1 ☎

↘아이스작대기 사끼✒

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

아이스게이클럽캔디

엑시 파티약 
떨사는곳

아이스 LSD 아이스작대기 

#아이스작대기
#시원할술팝니다 https://t.co/LHjDSocMnH",0,0,39.0,"['아이스작대기', '시원할술팝니다']","[Photo(previewUrl='https://pbs.twimg.com/media/Fsad2WdaYAAzygR?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fsad2WdaYAAzygR?format=jpg&name=orig', altText=None)]",Twitter Web App
118,2023-03-29 19:46:08+00:00,1.64116e+18,skszzz123,PADAM,,Republic of Korea,"✎ 텔 레 그 램 J R i c e 1 ♦

✉아이스작대기 사끼✏

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

아이스판매처엑스터시효능

최음제 떨가격 
클럽약

LSD 아이스뽕 케이 https://t.co/2gMOQ3iC3X",0,0,10.0,,"[Photo(previewUrl='https://pbs.twimg.com/media/FsaWudKaUAAbR7Y?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaWudKaUAAbR7Y?format=jpg&name=orig', altText=None)]",Twitter Web App
119,2023-03-29 18:51:39+00:00,1.64115e+18,beckahenryx,becky,,,"🗾아이스전문 상선💐

〰‡보안텔레 sakura446♤🌮

#아이스작대기 후리베이스

사끼 👩‍👩‍👧 후리

▨민물낚시 vs 당구🐭 https://t.co/RVgIkoIj5o",0,0,10.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaJlVmaEAA3jL2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaJlVmaEAA3jL2?format=jpg&name=orig', altText=None)]",Twitter Web App
120,2023-03-29 18:45:32+00:00,1.64115e+18,kkkiv5,muk,,,"뽕라덴 복귀↔

텔레 binladen11

전국 실시간 좌표  ☄
전국 드랍   ✏

샘플 20만원 시작~  ✒

아이스작대기

게이만남

판매처 

차가운술 엘에디 샘플20만
엘에디 사끼 

떨구매 떨팝니다 떨구매

아이스작대기 떨삽니다
아이스1G 사탕 

#빙두
#인디카 https://t.co/4CPbRGhpyj",0,0,35.0,"['빙두', '인디카']","[Photo(previewUrl='https://pbs.twimg.com/media/FsaI2y9akAAmuP2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaI2y9akAAmuP2?format=jpg&name=orig', altText=None)]",Twitter Web App
121,2023-03-29 18:43:56+00:00,1.64115e+18,choeeun94223428,최은석,,,"✉ 텔 레 i c e m a n k ✉
샘플0.2G 20만
사칭조심

아이스작대기 작대기뽕
작대기술 
허브

사끼 사끼
LSD
허브

떨가격 떨느낌 떨구매 
떨가격

아이스팝니다 아이스뽕 떨구입 
클럽약

사끼파는곳 대마초파는곳

#대마초
#강남아이스 https://t.co/RGYO6YAr2K",0,0,11.0,"['대마초', '강남아이스']","[Photo(previewUrl='https://pbs.twimg.com/media/FsaIfcuaUAAoosm?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaIfcuaUAAoosm?format=jpg&name=orig', altText=None)]",Twitter Web App
122,2023-03-29 18:28:29+00:00,1.64115e+18,cocobily,허인흐ㅣ,,,"여러분에 안식처 아이스 하이븐 

☀텔 레 문 의 i c e haven ✂

정품아이스파는곳 술의효능 아이스판매처
인잭하는법 아이스얼음작대기

떨팝니다 담배 떨파는곳
사탕 떨판매

작대기뽕 빙두 아이스술
사끼 엘에디

#사끼
#빙두 https://t.co/VSlsVdpdvM",0,0,9.0,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsaE9BUaQAAlERP?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaE9BUaQAAlERP?format=jpg&name=orig', altText=None)]",Twitter Web App
123,2023-03-29 18:21:50+00:00,1.64114e+18,djsoaha,대구클럽d에더블 코카인 우유주사(충북인증업체),,,"☎ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
인천마약  
차가운술  
히로뽕  
작대기술구매처  
사끼  
도리도리  
  
#울산인증업자 https://t.co/JH9UlonoWc",0,0,58.0,['울산인증업자'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaDaHDagAAsMGr?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaDaHDagAAsMGr?format=jpg&name=orig', altText=None)]",Twitter Web App
124,2023-03-29 18:13:56+00:00,1.64114e+18,jaja9600,💤💤💤,,,"☯ 텔 레 그 램 J R i c e 1 ✡

☄아이스작대기 사끼☝

작대기 아이스 허브 브액 대마초 떨
캔디케이 몰리 떨액 브액 

아이스효능직빵클럽캔디

 떨가격 
클럽약

아이스드랍 아이스작대기 작대기술 

#아이스작대기 https://t.co/6ju7kP1X24",0,0,20.0,['아이스작대기'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsaBn5YaIAAkMoS?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsaBn5YaIAAkMoS?format=jpg&name=orig', altText=None)]",Twitter Web App
125,2023-03-29 18:05:45+00:00,1.64114e+18,Ardis_waddell,강북액브 서울히로뽕 드러그효과 사끼(합성대마도매),,,"★ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
부산떨액  
충북황술  
허브구매  
전남케이캔디  
강동해시시  
수면제후기  
  
#허브액상 https://t.co/32p9cUetx4",0,0,38.0,['허브액상'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ_vkKakAExzDX?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ_vkKakAExzDX?format=jpg&name=orig', altText=None)]",Twitter Web App
126,2023-03-29 17:45:44+00:00,1.64113e+18,ohjin1,ohhaejin,,,"문의

텔 레 i c e p i c k s
텔 레 i c e p i c k s

☄ 아이스픽2 ☀
샘플 20만 아이스작대기

캔디판매처 부산아이스 인천아이스
인잭하는법

사티바 엑시 강남파티
 최음제 엑시

아이스뽕 빙두 작대기
케타민 작대기

✎ #사끼 ♦
✡ #빙두 ✒ https://t.co/ylLnCcj8uJ",0,0,49.0,"['사끼', '빙두']","[Photo(previewUrl='https://pbs.twimg.com/media/FsZ7K02aAAE7heI?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ7K02aAAE7heI?format=jpg&name=orig', altText=None)]",Twitter Web App
127,2023-03-29 17:40:18+00:00,1.64113e+18,cellee55,수면제고퀄아이스 성남수면보조제 스틸녹스하는법(스틸녹스팔아요),,,"♠ ㅌㄹㄱㄹ 24시상담 &gt;&gt; p i n k m a n 1 1 4 &lt;&lt; 
  
허브  
인천케이  
수원사끼  
트라마돌구매하는법  
디스펜서리  
떨액  
  
#허브구입 https://t.co/dGEEZ1OzX7",0,0,69.0,['허브구입'],"[Photo(previewUrl='https://pbs.twimg.com/media/FsZ562PaQAAU1_3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ562PaQAAU1_3?format=jpg&name=orig', altText=None)]",Twitter Web App
128,2023-03-29 17:31:18+00:00,1.64113e+18,ASURION1002,♬ARI♬,,,"✎ 국가대표 coreaice ✐

☺ 아이스작대기 ✍

♥ 코카인 ✡

술파는곳 창원아이스 아이스사용후기
케이 샘플20만 작대기뽕 허브

케타민 떨삽니다 클럽약 

 대마 떨사는곳 

 케타민 마약효과 아이스사끼

차가운술파는곳 엑스터시  정품아이스파는곳소개 대마 

#아이스
#사끼 https://t.co/uoTQVXiVpy",0,0,45.0,"['아이스', '사끼']","[Photo(previewUrl='https://pbs.twimg.com/media/FsZ33oLagAAXgE1?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ33oLagAAXgE1?format=jpg&name=orig', altText=None)]",Twitter Web App
129,2023-03-29 17:27:03+00:00,1.64113e+18,asj1118,안정순■그냥직진..,,,"☝ #아이스술  ☎
♦ #아이스작대기 ☀

여러분에 안식처 하이븐

☢텔 레 문 의 i c e haven ☀

대마초파는곳 캔디파는곳 케타민반응
강간데이트 판매처

엑시 케이 사티바
 케이 

사끼 사끼 아이스1G
샘플20만 빙두 https://t.co/9P2UEqO0BU",0,0,3.0,"['아이스술', '아이스작대기']","[Photo(previewUrl='https://pbs.twimg.com/media/FsZ25EqaQAAqyYT?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FsZ25EqaQAAqyYT?format=jpg&name=orig', altText=None)]",Twitter Web App
