type1,type2,date,id,user.username,user.displayname,place,user.location,content,likeCount,retweetCount,viewCount,hashtags,media,sourceLabel,Unnamed: 0
아편,스틸녹스,2023-02-27 06:39:50+00:00,1.6301e+18,yongjin19650917,정경인,,,ElI . . 스틸녹스 졸피뎀 치사량 강원 횡성 tele 문의 baekmama,0,0,59.0,['스틸녹스'],,Twitter Web App,
아편,졸피뎀,2023-02-27 06:39:50+00:00,1.6301e+18,yongjin19650917,정경인,,,ElI . . 스틸녹스 졸피뎀 치사량 강원 횡성 tele 문의 baekmama,0,0,59.0,['스틸녹스'],,Twitter Web App,
아편,졸피뎀,2023-02-27 08:32:36+00:00,1.63012e+18,yongjin19650917,정경인,,,zpg 스트레스 졸피뎀 판매 tele 예약 대전 중구 baekmama,0,0,60.0,['스트레스'],,Twitter Web App,
아편,스틸녹스,2023-02-27 10:25:21+00:00,1.63015e+18,yongjin19650917,정경인,,,XxZ . . 광주 스틸녹스 과다 복용 사망 광주 동구 tele 문의 baekmama,0,0,239.0,['광주'],,Twitter Web App,
아편,스틸녹스,2023-02-27 12:55:41+00:00,1.63019e+18,yongjin19650917,정경인,,,Hfk . . 수면제 스틸녹스 술 환각 전남 구례 tele 문의 baekmama,0,0,54.0,['수면제'],,Twitter Web App,
아편,스틸녹스,2023-02-27 16:19:51+00:00,1.63024e+18,Fater36v,angie Fater,,,텔레문의 pinkman 114 펜타닐구하는곳 수원weed 콕구매처 충청도드러그 스틸녹스사는방법 엑스터시 강원도발정제 ,0,0,30.0,['펜타닐구하는곳'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_HzV4aYAIrsn8?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp_HzV4aYAIrsn8?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,졸피뎀,2023-02-27 16:49:27+00:00,1.63025e+18,nurwindaastuti,nurwinda astuti,,,텔레문의 pinkman 114 인슐린구매하는법 전국파퍼 파티drug팝니다 졸피뎀 히로뽕구매하는법 작대기아이스가격 작대기아이스 ,0,0,130.0,['인슐린구매하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_OlgiaEAAbcCY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp_OlgiaEAAbcCY?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-27 16:58:38+00:00,1.63025e+18,Norris41g,ruthanne Norris,,,텔레문의 pinkman 114 충청도안전딜러 고기판매처 서울케타민 전남트라마돌 마약구매방법 에더블구매하는법 환각제상선 ,0,0,26.0,['충청도안전딜러'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_QrZsaMAAsRRd?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp_QrZsaMAAsRRd?format=jpg&name=orig', altText=None)]",Twitter Web App,205.0
아편,스틸녹스,2023-02-27 18:44:44+00:00,1.63028e+18,jannahshohibah,jannah,,,텔레문의 pinkman 114 스틸녹스 버드사는방법 매직머쉬룸 충청도버드 콕가격 용인에더블 서울암페타민 ,0,0,117.0,['스틸녹스'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_o9jqaUAEhSAR?format=png&name=small', fullUrl='https://pbs.twimg.com/media/Fp_o9jqaUAEhSAR?format=png&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-27 18:56:34+00:00,1.63028e+18,nurwindaastuti,nurwinda astuti,,,텔레문의 pinkman 114 충남합성대마초 트라마돌 수원파퍼 대구s케타민 인천마리화나 s케타민구입하는법 북한산빙두도매 ,0,0,46.0,['충남합성대마초'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_rrDuaAAIgJmB?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp_rrDuaAAIgJmB?format=jpg&name=orig', altText=None)]",Twitter Web App,204.0
아편,트라마돌,2023-02-27 19:22:16+00:00,1.63029e+18,kotri40018,kotri40018,,,텔레문의 pinkman 114 총알배송 강원도트라마돌 경기도마약 댑 펜타닐사는곳 창원인증업체 북한산술 ,0,0,72.0,['총알배송'],"[Photo(previewUrl='https://pbs.twimg.com/media/Fp_xjsxaYAETFqq?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Fp_xjsxaYAETFqq?format=jpg&name=orig', altText=None)]",Twitter Web App,203.0
아편,옥시코돈,2023-02-27 22:22:04+00:00,1.63033e+18,Pindur45t,aleta Pindur,,,텔레문의 pinkman 114 MDMA 패치판매처 케이밀크사는곳 옥시코돈도매 모르핀판매처 북한산아이스하는법 강남좌표딜러구함 ,0,0,14.0,['MDMA'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqAatjRaUAEMG99?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqAatjRaUAEMG99?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-27 23:00:50+00:00,1.63034e+18,Norris41g,ruthanne Norris,,,텔레문의 pinkman 114 히로뽕판매처 브액 부산트라마돌 패치 강남필로폰 헤로인 러쉬 ,0,0,42.0,['히로뽕판매처'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqAjlcSaAAIDVdJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqAjlcSaAAIDVdJ?format=jpg&name=orig', altText=None)]",Twitter Web App,202.0
아편,옥시코돈,2023-02-28 00:40:10+00:00,1.63037e+18,BiebMagineLive,BiebMagineLive,,,텔레24시상담 pinkman 114 옥시코돈파는곳 세종고기 대구펜타닐 하이브리드 울산인슐린 인천인증업체 경상도드러그 ,0,0,68.0,['경상도드러그'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqA6Sv5acAE6Xn3?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqA6Sv5acAE6Xn3?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,트라마돌,2023-02-28 01:36:03+00:00,1.63038e+18,Fater36v,angie Fater,,,텔레24시상담 pinkman 114 트라마돌 강원도우유주사 떨액판매 황술사는곳 경상도드라퍼모집 사탕 액떨구매 ,0,0,15.0,['액떨구매'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqBHGaOaAAING6x?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqBHGaOaAAING6x?format=jpg&name=orig', altText=None)]",Twitter Web App,201.0
아편,옥시코돈,2023-02-28 02:10:22+00:00,1.63039e+18,Norris41g,ruthanne Norris,,,텔레24시상담 pinkman 114 옥시코돈구하는법 섹스마약 대구드러그 물뽕 고퀄아이스하는방법 케타민밀크 환각제팔아요 ,0,0,116.0,['환각제팔아요'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqBO-AqacAAm_HW?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqBO-AqacAAm_HW?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,스틸녹스,2023-02-28 02:28:04+00:00,1.63039e+18,kotri40018,kotri40018,,,텔레24시상담 pinkman 114 고기구하는곳 마취제팝니다 부산스틸녹스 매직머쉬룸사는곳 파퍼 서울파티마약 하이드로몰핀구입하는법 ,0,0,69.0,['하이드로몰핀구입하는법'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqBTA9facAEJJ8b?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqBTA9facAEJJ8b?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,스틸녹스,2023-02-28 02:48:23+00:00,1.6304e+18,Shafer10c,vida Shafer,,,텔레24시상담 pinkman 114 스페셜케타민판매 각성제하는법 스틸녹스팔아요 경상도신속드랍 Molly 전라도합성대마초 전북찬술 ,0,0,27.0,['전북찬술'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqBXovFaAAAfotY?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqBXovFaAAAfotY?format=jpg&name=orig', altText=None)]",Twitter Web App,
아편,스틸녹스,2023-02-28 02:52:53+00:00,1.6304e+18,paperintheline,paperintheline,,,텔레24시상담 pinkman 114 경기도북한산아이스 강동인증업체 댑상선 케이밀크구입하는방법 충청도스틸녹스 파티drug구입하는법 섹스파티 ,0,0,79.0,['섹스파티'],"[Photo(previewUrl='https://pbs.twimg.com/media/FqBYrkzaQAAZRXs?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/FqBYrkzaQAAZRXs?format=jpg&name=orig', altText=None)]",Twitter Web App,
